Legacy record number,Input Date (yyyy/mm/dd),Organisation Code,Organization name,Organization type,Area of expertise,Assessment?,Emergency Response?,Recovery?,Sector,Region (if not a country) (free text),Country,Island Name,Location,Beneficiaries,Project description,Project Status,Start date (yyyy/mm/dd),End date (yyyy/mm/dd),Unique ID
,#date,#org+code,#org,#org+type,#meta+expertise,#meta+assessment,#meta+emergency,#meta+recovery,#sector,#region,#country+name,#meta+island_name,#loc,#beneficiary,#description,#status,#date+start,#date+end,
127,2017/09/15,,American Red Cross,Red Cross Red Crescent Movement,Response,,YES,,,Region,,,,,,Roll out the psychosocial support programme ‘Return to Happiness’,,,
78,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Haiti,,,,"Conducted rapid assessments in the four most affected communes in Nord Est (Ferrier, FortLiberté/Malféty, Ouanaminthe and Caracol); these were joint assessments with the Haiti Red Cross Society, DPC, Oxfam, European Civil Protection and Humanitarian Aid Operations (ECHO), UNICEF and Plan Haiti.",Ongoing,,,
79,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Haiti,,,,Distribution of non-food items (NFIs) done on 9 September in the commune of Fort Liberte,Ongoing,,,
80,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Haiti,,,,"A quick assessment done in the localities of Petite Anse, Milot and Vertiers (Cap-Haitian), North that is severely affected to allow for a future distribution",Completed,,,
89,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Puerto Rico,,,,"Red Cross workers are there now to help provide food, shelter and comfort to those affected. The Red Cross is also working in close collaboration with local",Ongoing,,,
90,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,United States Virgin Islands,,,,"Dozens of American Red Cross workers are there now to help provide food, shelter and comfort to those affected, with additional Red Cross disaster workers and relief supplies are on the way.",Ongoing,,,
91,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,United States Virgin Islands,,,,The Red Cross is also working in close collaboration with local officials and community partners to coordinate response efforts.,Ongoing,,,275
81,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Haiti,,,,Evaluation started on all 5 municipalities identified by the Regional Committee of the Red Cross and priorities by the Government (DPC and Partners) as the most affected in the North West.,Ongoing,,,274
82,2017/09/12,AmCross,American Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Haiti,,,,"Evaluation in 4 localities in Port-de-Paix: 3 at vulnerables localitie¬s Nan Palan, Dèyè TiPoòdpè and Haut Fourneau 6th communal section Paulin la Corne",Ongoing,,,273
10,2017/09/08,IFRC,Antigua and Barbuda Red Cross,Red Cross and Red Crescent Movement,Management,,YES,,,,Antigua and Barbuda,Antigua and Barbuda,Antigua,,Technical support deployed to the Antigua and Barbuda Red Cross on the emergency response,Ongoing,,,272
8,2017/09/08,USAID,Antigua and Barbuda Red Cross,Red Cross and Red Crescent Movement,Diaster Response,,YES,,,,Antigua and Barbuda,Antigua,,1000,"Initial US$100,000: For Essential Non-Food relief items including mattresses, bedding, hygiene kits, kitchen sets, and clean-up equipment",Ongoing,,,271
