zipcode,rate,count,$cost original,pct_under_25K,cost
11206,5.23,231,19.5M,53.9,19.5
11233,4.87,198,19.0M,46.0,19
11212,4.65,245,23.8M,49.1,23.8
11221,4.6,232,22.3M,48.6,22.3
11216,4.56,168,16.6M,42.4,16.6
11207,4.56,252,24.8M,46.0,24.8
11213,3.94,156,16.8M,40.1,16.8
11208,3.77,220,20.2M,41.8,20.2
11237,3.48,109,9.2M,49.5,9.2
11205,2.79,68,3.7M,42.5,3.7
11238,2.78,106,11.7M,27.8,11.7
11231,2.77,62,5.4M,29.4,5.4
11224,2.51,65,6.1M,50.0,6.1
11239,2.38,22,2.2M,52.3,2.2
11226,1.96,134,16.0M,35.8,16
11217,1.89,49,4.3M,23.8,4.3
11225,1.87,71,4.9M,34.1,4.9
11232,1.7,32,3.2M,39.0,3.2
11211,1.39,73,6.2M,47.1,6.2
11203,1.25,69,5.3M,26.3,5.3
11210,1.07,48,2.8M,25.7,2.8
11220,1.04,68,4.9M,38.9,4.9
11236,1,62,7.7M,23.8,7.7
11201,0.91,35,2.6M,20.6,2.6
11223,0.73,33,3.3M,36.7,3.3
11234,0.67,38,5.0M,19.2,5
11222,0.64,19,2.0M,31.8,2
11218,0.62,29,4.9M,33.8,4.9
11219,0.56,25,3.3M,42.0,3.3
11215,0.55,26,2.3M,20.2,2.3
11229,0.51,25,3.6M,30.9,3.6
11228,0.48,12,0.9M,24.5,0.9
11230,0.47,24,3.6M,34.5,3.6
11235,0.47,24,2.9M,37.4,2.9
11214,0.41,22,2.4M,34.3,2.4
11204,0.28,13,1.8M,35.7,1.8
11209,0.24,11,1.1M,24.4,1.1
11251,0,0,0.0M,0.0,0
